SUID,BEND_MAP_ID,Gene_A,Gene_B,interaction,name,Name_A,Name_B,SCORE,selected,shared interaction,shared name,source,source_original,target,target_original,TYPE
3931,1129355,GO:0016126,ath00100,Direct,,GO:0016126,ath00100,0.906949352,FALSE,Direct,,136,,66,,Direct
3932,1129327,GO:0016126,GO:1901615,Direct,,GO:0016126,GO:1901615,0.741830065,FALSE,Direct,,136,,70,,Direct
3933,1129140,GO:0042254,ath03010,Direct,,GO:0042254,ath03010,0.358964451,FALSE,Direct,,135,,121,,Direct
3934,1129139,GO:0042254,GO:0042273,Direct,,GO:0042254,GO:0042273,0.383347788,FALSE,Direct,,135,,81,,Direct
3935,1128774,GO:0010043,ath00710,Direct,,GO:0010043,ath00710,0.348645465,FALSE,Direct,,134,,92,,Direct
3936,1129172,GO:0009266,GO:0009408,Direct,,GO:0009266,GO:0009408,0.623450906,FALSE,Direct,,133,,82,,Direct
3937,1129018,GO:0010038,GO:0046686,Direct,,GO:0010038,GO:0046686,0.919107106,FALSE,Direct,,132,,10,,Direct
3938,1129187,GO:1902531,ath04016,Direct,,GO:1902531,ath04016,0.558659218,FALSE,Direct,,131,,83,,Direct
3939,1129173,GO:1902531,GO:1902532,Direct,,GO:1902531,GO:1902532,0.660944206,FALSE,Direct,,131,,89,,Direct
3940,1128925,GO:0045898,GO:0071824,Direct,,GO:0045898,GO:0071824,0.751520235,FALSE,Direct,,130,,21,,Direct
3941,1128924,GO:0045898,GO:0051123,Direct,,GO:0045898,GO:0051123,1,FALSE,Direct,,130,,20,,Direct
3942,1128922,GO:0045898,ath03050,Direct,,GO:0045898,ath03050,0.400722456,FALSE,Direct,,130,,119,,Direct
3943,1128921,GO:0045898,GO:0060261,Direct,,GO:0045898,GO:0060261,1,FALSE,Direct,,130,,15,,Direct
3944,1128920,GO:0045898,GO:0060260,Direct,,GO:0045898,GO:0060260,1,FALSE,Direct,,130,,14,,Direct
3945,1128919,GO:0045898,GO:2000142,Direct,,GO:0045898,GO:2000142,1,FALSE,Direct,,130,,17,,Direct
3946,1128918,GO:0045898,GO:0065004,Direct,,GO:0045898,GO:0065004,0.751520235,FALSE,Direct,,130,,18,,Direct
3947,1128917,GO:0045898,GO:0045899,Direct,,GO:0045898,GO:0045899,1,FALSE,Direct,,130,,13,,Direct
3948,1128805,GO:0045898,GO:2000144,Direct,,GO:0045898,GO:2000144,1,FALSE,Direct,,130,,16,,Direct
3949,1128938,GO:0009846,GO:0009856,Direct,,GO:0009846,GO:0009856,0.695919938,FALSE,Direct,,129,,101,,Direct
3950,1128936,GO:0009846,GO:0046838,Direct,,GO:0009846,GO:0046838,0.591731266,FALSE,Direct,,129,,55,,Direct
3951,1128935,GO:0009846,GO:0046164,Direct,,GO:0009846,GO:0046164,0.591731266,FALSE,Direct,,129,,60,,Direct
3952,1128934,GO:0009846,GO:0046839,Direct,,GO:0009846,GO:0046839,0.534746761,FALSE,Direct,,129,,127,,Direct
3953,1128933,GO:0009846,GO:0071545,Direct,,GO:0009846,GO:0071545,0.591731266,FALSE,Direct,,129,,54,,Direct
3954,1128932,GO:0009846,GO:1901615,Direct,,GO:0009846,GO:1901615,0.354575163,FALSE,Direct,,129,,70,,Direct
3955,1128931,GO:0009846,GO:0046856,Direct,,GO:0009846,GO:0046856,0.534746761,FALSE,Direct,,129,,52,,Direct
3956,1128930,GO:0009846,GO:0043647,Direct,,GO:0009846,GO:0043647,0.591731266,FALSE,Direct,,129,,59,,Direct
3957,1128929,GO:0009846,GO:0044706,Direct,,GO:0009846,GO:0044706,0.695919938,FALSE,Direct,,129,,102,,Direct
3958,1128928,GO:0009846,GO:0046174,Direct,,GO:0009846,GO:0046174,0.591731266,FALSE,Direct,,129,,57,,Direct
3959,1128927,GO:0009846,GO:0046855,Direct,,GO:0009846,GO:0046855,0.591731266,FALSE,Direct,,129,,53,,Direct
3960,1128879,GO:0009846,GO:0030258,Direct,,GO:0009846,GO:0030258,0.446446446,FALSE,Direct,,129,,58,,Direct
3961,1128736,GO:0009846,GO:0046434,Direct,,GO:0009846,GO:0046434,0.411545624,FALSE,Direct,,129,,56,,Direct
3962,1129410,GO:0045332,GO:0048194,Direct,,GO:0045332,GO:0048194,0.795689655,FALSE,Direct,,128,,38,,Direct
3963,1129386,GO:0045332,GO:0097035,Direct,,GO:0045332,GO:0097035,1,FALSE,Direct,,128,,36,,Direct
3964,1128772,GO:0045332,GO:0061024,Direct,,GO:0045332,GO:0061024,0.706319703,FALSE,Direct,,128,,42,,Direct
3965,1129333,GO:0046839,GO:0071545,Direct,,GO:0046839,GO:0071545,0.886765409,FALSE,Direct,,127,,54,,Direct
3966,1129326,GO:0046839,GO:1901615,Direct,,GO:0046839,GO:1901615,0.519826339,FALSE,Direct,,127,,70,,Direct
3967,1129145,GO:0046839,GO:0046856,Direct,,GO:0046839,GO:0046856,1,FALSE,Direct,,127,,52,,Direct
3968,1129064,GO:0046839,GO:0071322,Direct,,GO:0046839,GO:0071322,0.316510454,FALSE,Direct,,127,,48,,Direct
3969,1128956,GO:0046839,GO:0046855,Direct,,GO:0046839,GO:0046855,0.886765409,FALSE,Direct,,127,,53,,Direct
3970,1129299,GO:0007017,GO:0007049,Direct,,GO:0007017,GO:0007049,0.33277027,FALSE,Direct,,126,,61,,Direct
3971,1129277,GO:0007017,ath04145,Direct,,GO:0007017,ath04145,0.310043668,FALSE,Direct,,126,,62,,Direct
3972,1128785,GO:0009292,ath00270,Direct,,GO:0009292,ath00270,0.316510454,FALSE,Direct,,125,,79,,Direct
3973,1128783,GO:0009292,GO:0044764,Direct,,GO:0009292,GO:0044764,1,FALSE,Direct,,125,,72,,Direct
3974,1128782,GO:0009292,GO:0044728,Direct,,GO:0009292,GO:0044728,0.348645465,FALSE,Direct,,125,,76,,Direct
3975,1128781,GO:0009292,GO:0090116,Direct,,GO:0009292,GO:0090116,0.491961415,FALSE,Direct,,125,,73,,Direct
3976,1128780,GO:0009292,GO:0010424,Direct,,GO:0009292,GO:0010424,0.491961415,FALSE,Direct,,125,,78,,Direct
3977,1128776,GO:0009292,GO:0009294,Direct,,GO:0009292,GO:0009294,1,FALSE,Direct,,125,,71,,Direct
3978,1129198,GO:0051276,GO:0071103,Direct,,GO:0051276,GO:0071103,0.441367118,FALSE,Direct,,124,,107,,Direct
3979,1129290,GO:0031497,GO:0071824,Direct,,GO:0031497,GO:0071824,0.426982592,FALSE,Direct,,123,,21,,Direct
3980,1129256,GO:0031497,GO:0071103,Direct,,GO:0031497,GO:0071103,0.829127614,FALSE,Direct,,123,,107,,Direct
3981,1129247,GO:0031497,GO:0034728,Direct,,GO:0031497,GO:0034728,0.886765409,FALSE,Direct,,123,,112,,Direct
3982,1129200,GO:0031497,GO:0051276,Direct,,GO:0031497,GO:0051276,0.334061817,FALSE,Direct,,123,,124,,Direct
3983,1128995,GO:0031497,GO:0065004,Direct,,GO:0031497,GO:0065004,0.426982592,FALSE,Direct,,123,,18,,Direct
3984,1129169,GO:0009756,GO:0010182,Direct,,GO:0009756,GO:0010182,1,FALSE,Direct,,122,,47,,Direct
3985,1129168,GO:0009756,GO:0046838,Direct,,GO:0009756,GO:0046838,0.349666797,FALSE,Direct,,122,,55,,Direct
3986,1129167,GO:0009756,GO:0046164,Direct,,GO:0009756,GO:0046164,0.349666797,FALSE,Direct,,122,,60,,Direct
3987,1129166,GO:0009756,GO:0046839,Direct,,GO:0009756,GO:0046839,0.316510454,FALSE,Direct,,122,,127,,Direct
3988,1129165,GO:0009756,GO:0071545,Direct,,GO:0009756,GO:0071545,0.349666797,FALSE,Direct,,122,,54,,Direct
3989,1129142,GO:0009756,GO:0046856,Direct,,GO:0009756,GO:0046856,0.316510454,FALSE,Direct,,122,,52,,Direct
3990,1129121,GO:0009756,GO:0043647,Direct,,GO:0009756,GO:0043647,0.349666797,FALSE,Direct,,122,,59,,Direct
3991,1129062,GO:0009756,GO:0071322,Direct,,GO:0009756,GO:0071322,1,FALSE,Direct,,122,,48,,Direct
3992,1128977,GO:0009756,GO:0046174,Direct,,GO:0009756,GO:0046174,0.349666797,FALSE,Direct,,122,,57,,Direct
3993,1128953,GO:0009756,GO:0046855,Direct,,GO:0009756,GO:0046855,0.349666797,FALSE,Direct,,122,,53,,Direct
3994,1129284,ath04141,ath_M00072,Direct,,ath04141,ath_M00072,0.429465575,FALSE,Direct,,120,,44,,Direct
3995,1129416,GO:0006259,GO:0006310,Direct,,GO:0006259,GO:0006310,0.441367118,FALSE,Direct,,118,,111,,Direct
3996,1129403,GO:0006259,GO:0006325,Direct,,GO:0006259,GO:0006325,0.440094499,FALSE,Direct,,118,,22,,Direct
3997,1129368,GO:0006259,GO:0006974,Direct,,GO:0006259,GO:0006974,0.749265311,FALSE,Direct,,118,,28,,Direct
3998,1129275,GO:0006259,GO:0044728,Direct,,GO:0006259,GO:0044728,0.389267849,FALSE,Direct,,118,,76,,Direct
3999,1129265,GO:0006259,GO:0071103,Direct,,GO:0006259,GO:0071103,0.301708898,FALSE,Direct,,118,,107,,Direct
4000,1129208,GO:0006259,GO:0051276,Direct,,GO:0006259,GO:0051276,0.566639577,FALSE,Direct,,118,,124,,Direct
4001,1129089,GO:0006259,ath03420,Direct,,GO:0006259,ath03420,0.389267849,FALSE,Direct,,118,,30,,Direct
4002,1128971,GO:0006259,GO:0006281,Direct,,GO:0006259,GO:0006281,0.772005772,FALSE,Direct,,118,,29,,Direct
4003,1128915,GO:0006259,GO:0006260,Direct,,GO:0006259,GO:0006260,0.441367118,FALSE,Direct,,118,,31,,Direct
4004,1128898,GO:0006259,GO:0040029,Direct,,GO:0006259,GO:0040029,0.32386904,FALSE,Direct,,118,,25,,Direct
4005,1128869,GO:0006259,GO:0006302,Direct,,GO:0006259,GO:0006302,0.334061817,FALSE,Direct,,118,,113,,Direct
4006,1128854,GO:0006259,GO:0006304,Direct,,GO:0006259,GO:0006304,0.389267849,FALSE,Direct,,118,,77,,Direct
4007,1128842,GO:0006259,GO:0006305,Direct,,GO:0006259,GO:0006305,0.389267849,FALSE,Direct,,118,,74,,Direct
4008,1128829,GO:0006259,GO:0006306,Direct,,GO:0006259,GO:0006306,0.389267849,FALSE,Direct,,118,,75,,Direct
4009,1129322,ath00020,ath01200,Direct,,ath00020,ath01200,0.574287914,FALSE,Direct,,117,,93,,Direct
4010,1129280,ath00020,ath00710,Direct,,ath00020,ath00710,0.316017316,FALSE,Direct,,117,,92,,Direct
4011,1129116,ath00020,ath_M00012,Direct,,ath00020,ath_M00012,0.660944206,FALSE,Direct,,117,,100,,Direct
4012,1128775,GO:0009735,GO:0010043,Direct,,GO:0009735,GO:0010043,0.447184272,FALSE,Direct,,116,,134,,Direct
4013,1129307,GO:0000725,GO:0006310,Direct,,GO:0000725,GO:0006310,0.72128577,FALSE,Direct,,115,,111,,Direct
4014,1129306,GO:0000725,GO:0006323,Direct,,GO:0000725,GO:0006323,0.433827043,FALSE,Direct,,115,,109,,Direct
4015,1129305,GO:0000725,GO:0071824,Direct,,GO:0000725,GO:0071824,0.335796178,FALSE,Direct,,115,,21,,Direct
4016,1129304,GO:0000725,GO:0006333,Direct,,GO:0000725,GO:0006333,0.433827043,FALSE,Direct,,115,,108,,Direct
4017,1129303,GO:0000725,GO:0006334,Direct,,GO:0000725,GO:0006334,0.491416309,FALSE,Direct,,115,,110,,Direct
4018,1129302,GO:0000725,GO:0006974,Direct,,GO:0000725,GO:0006974,0.383347788,FALSE,Direct,,115,,28,,Direct
4019,1129286,GO:0000725,GO:0031497,Direct,,GO:0000725,GO:0031497,0.433827043,FALSE,Direct,,115,,123,,Direct
4020,1129257,GO:0000725,GO:0071103,Direct,,GO:0000725,GO:0071103,0.535476284,FALSE,Direct,,115,,107,,Direct
4021,1129248,GO:0000725,GO:0034728,Direct,,GO:0000725,GO:0034728,0.491416309,FALSE,Direct,,115,,112,,Direct
4022,1128996,GO:0000725,GO:0065004,Direct,,GO:0000725,GO:0065004,0.335796178,FALSE,Direct,,115,,18,,Direct
4023,1128968,GO:0000725,GO:0006281,Direct,,GO:0000725,GO:0006281,0.405201916,FALSE,Direct,,115,,29,,Direct
4024,1128912,GO:0000725,GO:0006260,Direct,,GO:0000725,GO:0006260,0.349666797,FALSE,Direct,,115,,31,,Direct
4025,1128862,GO:0000725,GO:0006302,Direct,,GO:0000725,GO:0006302,0.886765409,FALSE,Direct,,115,,113,,Direct
4026,1129313,GO:0000724,GO:0006310,Direct,,GO:0000724,GO:0006310,0.72128577,FALSE,Direct,,114,,111,,Direct
4027,1129312,GO:0000724,GO:0006323,Direct,,GO:0000724,GO:0006323,0.433827043,FALSE,Direct,,114,,109,,Direct
4028,1129311,GO:0000724,GO:0071824,Direct,,GO:0000724,GO:0071824,0.335796178,FALSE,Direct,,114,,21,,Direct
4029,1129310,GO:0000724,GO:0006333,Direct,,GO:0000724,GO:0006333,0.433827043,FALSE,Direct,,114,,108,,Direct
4030,1129309,GO:0000724,GO:0006334,Direct,,GO:0000724,GO:0006334,0.491416309,FALSE,Direct,,114,,110,,Direct
4031,1129308,GO:0000724,GO:0006974,Direct,,GO:0000724,GO:0006974,0.383347788,FALSE,Direct,,114,,28,,Direct
4032,1129301,GO:0000724,GO:0000725,Direct,,GO:0000724,GO:0000725,1,FALSE,Direct,,114,,115,,Direct
