SUID,BEND_MAP_ID,Gene_A,Gene_B,interaction,name,Name_A,Name_B,SCORE,selected,shared interaction,shared name,source,source_original,target,target_original,TYPE
,,GO:0008610,GO:0016114,Direct,,GO:0008610,GO:0016114,0.332276809,FALSE,,,,,,,Direct
,,GO:0008610,GO:0072330,Direct,,GO:0008610,GO:0072330,0.350232799,FALSE,,,,,,,Direct
,,GO:0008610,GO:0016053,Direct,,GO:0008610,GO:0016053,0.385577873,FALSE,,,,,,,Direct
,,GO:0008610,GO:0046394,Direct,,GO:0008610,GO:0046394,0.327725437,FALSE,,,,,,,Direct
,,GO:0032787,GO:0072330,Direct,,GO:0032787,GO:0072330,0.710235979,FALSE,,,,,,,Direct
,,GO:0032787,GO:0046394,Direct,,GO:0032787,GO:0046394,0.653875745,FALSE,,,,,,,Direct
,,GO:0006633,GO:0032787,Direct,,GO:0006633,GO:0032787,0.551170569,FALSE,,,,,,,Direct
,,GO:0006633,GO:0072330,Direct,,GO:0006633,GO:0072330,0.817154715,FALSE,,,,,,,Direct
,,GO:0006633,ath01212,Direct,,GO:0006633,ath01212,0.303425775,FALSE,,,,,,,Direct
,,GO:0006633,GO:0016053,Direct,,GO:0006633,GO:0016053,0.639959814,FALSE,,,,,,,Direct
,,GO:0006633,GO:0046394,Direct,,GO:0006633,GO:0046394,0.714874897,FALSE,,,,,,,Direct
,,GO:0006633,ath00061,Direct,,GO:0006633,ath00061,0.360974378,FALSE,,,,,,,Direct
,,GO:0006633,ath00062,Direct,,GO:0006633,ath00062,0.343405525,FALSE,,,,,,,Direct
,,GO:0006633,ath04626,Direct,,GO:0006633,ath04626,0.321504237,FALSE,,,,,,,Direct
,,GO:0016053,GO:0032787,Direct,,GO:0016053,GO:0032787,0.598684211,FALSE,,,,,,,Direct
,,GO:0016053,GO:0072330,Direct,,GO:0016053,GO:0072330,0.810318021,FALSE,,,,,,,Direct
,,GO:0016053,GO:0046394,Direct,,GO:0016053,GO:0046394,0.916514599,FALSE,,,,,,,Direct
,,GO:0046394,GO:0072330,Direct,,GO:0046394,GO:0072330,0.892094669,FALSE,,,,,,,Direct
,,GO:0046486,ath00564,Direct,,GO:0046486,ath00564,0.416130551,FALSE,,,,,,,Direct
,,GO:0046486,GO:0090407,Direct,,GO:0046486,GO:0090407,0.492419033,FALSE,,,,,,,Direct
,,GO:0046486,GO:0046488,Direct,,GO:0046486,GO:0046488,0.524362656,FALSE,,,,,,,Direct
,,GO:0019637,GO:0046486,Direct,,GO:0019637,GO:0046486,0.557626709,FALSE,,,,,,,Direct
,,GO:0019637,ath00564,Direct,,GO:0019637,ath00564,0.39160105,FALSE,,,,,,,Direct
,,GO:0019637,GO:0045017,Direct,,GO:0019637,GO:0045017,0.403926446,FALSE,,,,,,,Direct
,,GO:0019637,GO:0090407,Direct,,GO:0019637,GO:0090407,0.71621384,FALSE,,,,,,,Direct
,,GO:0019637,GO:0046474,Direct,,GO:0019637,GO:0046474,0.434169427,FALSE,,,,,,,Direct
,,GO:0019637,GO:0046488,Direct,,GO:0019637,GO:0046488,0.33802048,FALSE,,,,,,,Direct
,,ath00564,ath00565,Direct,,ath00564,ath00565,0.409731822,FALSE,,,,,,,Direct
,,GO:0006650,GO:0019637,Direct,,GO:0006650,GO:0019637,0.610962682,FALSE,,,,,,,Direct
,,GO:0006650,GO:0046486,Direct,,GO:0006650,GO:0046486,0.869088679,FALSE,,,,,,,Direct
,,GO:0006650,ath00564,Direct,,GO:0006650,ath00564,0.458355532,FALSE,,,,,,,Direct
,,GO:0006650,GO:0008654,Direct,,GO:0006650,GO:0008654,0.635084015,FALSE,,,,,,,Direct
,,GO:0006650,GO:0045017,Direct,,GO:0006650,GO:0045017,0.676806431,FALSE,,,,,,,Direct
,,GO:0006650,GO:0090407,Direct,,GO:0006650,GO:0090407,0.550409248,FALSE,,,,,,,Direct
,,GO:0006650,GO:0046474,Direct,,GO:0006650,GO:0046474,0.773304429,FALSE,,,,,,,Direct
,,GO:0006650,GO:0046488,Direct,,GO:0006650,GO:0046488,0.632383876,FALSE,,,,,,,Direct
,,GO:0006650,GO:0006661,Direct,,GO:0006650,GO:0006661,0.413156526,FALSE,,,,,,,Direct
,,GO:0008654,GO:0019637,Direct,,GO:0008654,GO:0019637,0.59289673,FALSE,,,,,,,Direct
,,GO:0008654,GO:0046486,Direct,,GO:0008654,GO:0046486,0.563143828,FALSE,,,,,,,Direct
,,GO:0008654,ath00564,Direct,,GO:0008654,ath00564,0.381719457,FALSE,,,,,,,Direct
,,GO:0008654,GO:0045017,Direct,,GO:0008654,GO:0045017,0.704462872,FALSE,,,,,,,Direct
,,GO:0008654,GO:0090407,Direct,,GO:0008654,GO:0090407,0.860575092,FALSE,,,,,,,Direct
,,GO:0008654,GO:0046474,Direct,,GO:0008654,GO:0046474,0.793766508,FALSE,,,,,,,Direct
,,GO:0008654,GO:0046488,Direct,,GO:0008654,GO:0046488,0.352035953,FALSE,,,,,,,Direct
,,GO:0045017,GO:0046486,Direct,,GO:0045017,GO:0046486,0.803937324,FALSE,,,,,,,Direct
,,GO:0045017,ath00564,Direct,,GO:0045017,ath00564,0.391492565,FALSE,,,,,,,Direct
,,GO:0045017,GO:0090407,Direct,,GO:0045017,GO:0090407,0.597785828,FALSE,,,,,,,Direct
,,GO:0045017,GO:0046474,Direct,,GO:0045017,GO:0046474,0.837712005,FALSE,,,,,,,Direct
,,GO:0045017,GO:0046488,Direct,,GO:0045017,GO:0046488,0.375824447,FALSE,,,,,,,Direct
,,GO:0090407,ath00564,Direct,,GO:0090407,ath00564,0.326368475,FALSE,,,,,,,Direct
,,GO:0046474,GO:0046486,Direct,,GO:0046474,GO:0046486,0.652699938,FALSE,,,,,,,Direct
,,GO:0046474,ath00564,Direct,,GO:0046474,ath00564,0.42612786,FALSE,,,,,,,Direct
,,GO:0046474,GO:0090407,Direct,,GO:0046474,GO:0090407,0.66400289,FALSE,,,,,,,Direct
,,GO:0046474,GO:0046488,Direct,,GO:0046474,GO:0046488,0.466459121,FALSE,,,,,,,Direct
,,GO:0046474,GO:0046854,Direct,,GO:0046474,GO:0046854,0.319010005,FALSE,,,,,,,Direct
,,GO:0006720,GO:0008299,Direct,,GO:0006720,GO:0008299,0.918418036,FALSE,,,,,,,Direct
,,GO:0006720,GO:0008610,Direct,,GO:0006720,GO:0008610,0.368313805,FALSE,,,,,,,Direct
,,GO:0006720,GO:0016114,Direct,,GO:0006720,GO:0016114,0.825580802,FALSE,,,,,,,Direct
,,GO:0006720,GO:0006721,Direct,,GO:0006720,GO:0006721,0.9100958,FALSE,,,,,,,Direct
,,GO:0006720,GO:0016101,Direct,,GO:0006720,GO:0016101,0.515362175,FALSE,,,,,,,Direct
,,GO:0006720,ath00900,Direct,,GO:0006720,ath00900,0.32043389,FALSE,,,,,,,Direct
,,GO:0006720,GO:0016102,Direct,,GO:0006720,GO:0016102,0.479733153,FALSE,,,,,,,Direct
,,GO:0006721,GO:0008299,Direct,,GO:0006721,GO:0008299,0.832325454,FALSE,,,,,,,Direct
,,GO:0006721,GO:0008610,Direct,,GO:0006721,GO:0008610,0.316245237,FALSE,,,,,,,Direct
,,GO:0006721,GO:0016114,Direct,,GO:0006721,GO:0016114,0.914138608,FALSE,,,,,,,Direct
,,GO:0006721,GO:0016101,Direct,,GO:0006721,GO:0016101,0.587283933,FALSE,,,,,,,Direct
,,GO:0006721,GO:0016102,Direct,,GO:0006721,GO:0016102,0.548519737,FALSE,,,,,,,Direct
,,GO:0006721,GO:0009685,Direct,,GO:0006721,GO:0009685,0.302604119,FALSE,,,,,,,Direct
,,GO:0016101,GO:0016114,Direct,,GO:0016101,GO:0016114,0.598384898,FALSE,,,,,,,Direct
,,GO:0016101,GO:0016102,Direct,,GO:0016101,GO:0016102,0.952358638,FALSE,,,,,,,Direct
,,GO:0016101,ath00904,Direct,,GO:0016101,ath00904,0.483050847,FALSE,,,,,,,Direct
,,GO:0016102,GO:0016114,Direct,,GO:0016102,GO:0016114,0.61963644,FALSE,,,,,,,Direct
,,GO:0016102,ath00904,Direct,,GO:0016102,ath00904,0.518271911,FALSE,,,,,,,Direct
,,GO:0009686,GO:0016114,Direct,,GO:0009686,GO:0016114,0.325734024,FALSE,,,,,,,Direct
,,GO:0009686,GO:0016101,Direct,,GO:0009686,GO:0016101,0.565267516,FALSE,,,,,,,Direct
,,GO:0009686,GO:0016102,Direct,,GO:0009686,GO:0016102,0.604722181,FALSE,,,,,,,Direct
,,GO:0009686,ath00904,Direct,,GO:0009686,ath00904,0.834794945,FALSE,,,,,,,Direct
,,GO:0009685,GO:0016114,Direct,,GO:0009685,GO:0016114,0.319259741,FALSE,,,,,,,Direct
,,GO:0009685,GO:0016101,Direct,,GO:0009685,GO:0016101,0.600266216,FALSE,,,,,,,Direct
,,GO:0009685,GO:0016102,Direct,,GO:0009685,GO:0016102,0.587897719,FALSE,,,,,,,Direct
,,GO:0009685,GO:0009686,Direct,,GO:0009685,GO:0009686,0.957640115,FALSE,,,,,,,Direct
,,GO:0009685,ath00904,Direct,,GO:0009685,ath00904,0.796917386,FALSE,,,,,,,Direct
,,GO:0030258,GO:0044242,Direct,,GO:0030258,GO:0044242,0.426502534,FALSE,,,,,,,Direct
,,GO:0030258,GO:0034440,Direct,,GO:0030258,GO:0034440,0.784982935,FALSE,,,,,,,Direct
,,GO:0030258,GO:0044282,Direct,,GO:0030258,GO:0044282,0.552986513,FALSE,,,,,,,Direct
,,GO:0030258,GO:0072329,Direct,,GO:0030258,GO:0072329,0.581920904,FALSE,,,,,,,Direct
,,GO:0030258,GO:0046856,Direct,,GO:0030258,GO:0046856,0.425462459,FALSE,,,,,,,Direct
,,GO:0030258,GO:0046839,Direct,,GO:0030258,GO:0046839,0.425462459,FALSE,,,,,,,Direct
,,GO:0044242,GO:0044282,Direct,,GO:0044242,GO:0044282,0.531084847,FALSE,,,,,,,Direct
,,GO:0044242,GO:0072329,Direct,,GO:0044242,GO:0072329,0.665057275,FALSE,,,,,,,Direct
,,GO:0034440,GO:0044242,Direct,,GO:0034440,GO:0044242,0.530153477,FALSE,,,,,,,Direct
,,GO:0034440,GO:0044282,Direct,,GO:0034440,GO:0044282,0.449963045,FALSE,,,,,,,Direct
,,GO:0034440,ath00592,Direct,,GO:0034440,ath00592,0.329570093,FALSE,,,,,,,Direct
