uniprot,KeggID
P56765,ath:ArthCp031
Q6R0H1,ath:AT1G01060
O24457,ath:AT1G01090
Q9MAM3,ath:AT1G01120
Q9LNJ4,ath:AT1G01280
Q9LMN1,ath:AT1G01460
Q9LMM6,ath:AT1G01550
Q9LMM1,ath:AT1G01600
Q9LMM0,ath:AT1G01610
Q9LQ96,ath:AT1G01630
B3H5G8,ath:AT1G01695
F4HU55,ath:AT1G01740
Q8GXL3,ath:AT1G02065
A8MR93,ath:AT1G02145
F4HVX7,ath:AT1G02190
F4HVY0,ath:AT1G02205
O23680,ath:AT1G02280
Q9FZ22,ath:AT1G02390
Q9FZ21,ath:AT1G02400
F4HXL0,ath:AT1G02660
Q8RY16,ath:AT1G03000
Q9SA65,ath:AT1G03050
Q7XA78,ath:AT1G03055
Q42523,ath:AT1G03090
F4HZB9,ath:AT1G03103
Q9ZVT9,ath:AT1G03370
Q8GUL1,ath:AT1G03380
Q9LR78,ath:AT1G03445
Q9ZWA1,ath:AT1G03790
Q9ZWA6,ath:AT1G03840
Q9ZWB9,ath:AT1G03990
Q4VCM1,ath:AT1G04010
Q7GB25,ath:AT1G04120
O64492,ath:AT1G04150
Q5XEP9,ath:AT1G04220
F4I5P7,ath:AT1G04540
Q9SXP7,ath:AT1G04640
Q8LF48,ath:AT1G04710
Q9MAU5,ath:AT1G04970
Q06588,ath:AT1G05010
Q9ZVN6,ath:AT1G05020
Q94C37,ath:AT1G05230
F4I8Q8,ath:AT1G05370
Q9LR47,ath:AT1G05470
Q8L706,ath:AT1G05500
Q9SYK4,ath:AT1G05630
Q0WQ61,ath:AT1G05790
Q9MA46,ath:AT1G05800
O65797,ath:AT1G06080
Q9LND9,ath:AT1G06090
Q9LND8,ath:AT1G06100
Q9FPD5,ath:AT1G06120
Q9LNC2,ath:AT1G06250
P0CZ23,ath:AT1G06290
Q9LMI7,ath:AT1G06310
Q9LMI4,ath:AT1G06350
Q9LMI3,ath:AT1G06360
Q39012,ath:AT1G06390
Q9SHJ5,ath:AT1G06520
Q941F1,ath:AT1G06800
Q9M9Y8,ath:AT1G06820
Q9LMJ3,ath:AT1G06990
Q8L7Y9,ath:AT1G07230
Q9LNV0,ath:AT1G07310
F4HQM3,ath:AT1G07380
Q8VWZ8,ath:AT1G07420
Q9LNW3,ath:AT1G07430
Q9LQP8,ath:AT1G07720
Q9SGD2,ath:AT1G08280
Q9SJE2,ath:AT1G08510
Q39249,ath:AT1G08550
Q93WG3,ath:AT1G08640
Q8VZJ0,ath:AT1G08660
Q8GYI6,ath:AT1G08750
O80482,ath:AT1G09250
O80522,ath:AT1G09390
Q8GYA3,ath:AT1G09400
O80526,ath:AT1G09430
O80536,ath:AT1G09530
O80594,ath:AT1G10030
Q9SY59,ath:AT1G10170
Q9SE83,ath:AT1G10290
Q39264,ath:AT1G10480
Q1G2Y4,ath:AT1G10588
Q6ID97,ath:AT1G10630
Q9SAC8,ath:AT1G10740
Q9SAC0,ath:AT1G10830
Q9SUI2,ath:AT1G10900
O04083,ath:AT1G11090
Q9SAA9,ath:AT1G11680
Q8H0V2,ath:AT1G11755
O65390,ath:AT1G11910
O65378,ath:AT1G12010
F4IC43,ath:AT1G12100
Q39041,ath:AT1G12240
Q9LN86,ath:AT1G12610
F4IDU4,ath:AT1G12640
Q94K70,ath:AT1G12730
Q9LPW7,ath:AT1G12820
Q9SAF0,ath:AT1G13170
Q9ZWM9,ath:AT1G13260
Q93ZC5,ath:AT1G13280
Q9FX56,ath:AT1G13420
Q9FX55,ath:AT1G13430
O82567,ath:AT1G13560
Q6NQI8,ath:AT1G13580
Q8W4R8,ath:AT1G13640
Q9LMX9,ath:AT1G13680
Q9AST3,ath:AT1G14290
Q9LQW4,ath:AT1G14686
P94017,ath:AT1G14910
Q9LQT8,ath:AT1G14920
Q96274,ath:AT1G14930
F4HXW5,ath:AT1G14940
Q93WB5,ath:AT1G14960
Q9XI60,ath:AT1G15080
F4HXY7,ath:AT1G15110
F4HZJ6,ath:AT1G15240
Q9M9E1,ath:AT1G15520
Q39103,ath:AT1G15550
Q94AN4,ath:AT1G16060
Q9S9L9,ath:AT1G16180
Q5E924,ath:AT1G16300
Q9FZ49,ath:AT1G16900
Q76FS5,ath:AT1G17050
Q8RW97,ath:AT1G17340
Q9LNR3,ath:AT1G17420
Q9LQK0,ath:AT1G17470
Q84JG5,ath:AT1G17560
Q9FZ62,ath:AT1G17710
Q8RXN0,ath:AT1G17840
Q9LMT8,ath:AT1G17920
P0DI09,ath:AT1G17990
O24456,ath:AT1G18080
Q9XFK7,ath:AT1G18100
Q8GZ13,ath:AT1G18400
Q8LPF5,ath:AT1G18460
O49782,ath:AT1G18570
Q9FZ86,ath:AT1G18650
Q9M9V6,ath:AT1G18870
Q9LMA8,ath:AT1G19180
Q9LN63,ath:AT1G19350
Q9LN49,ath:AT1G19440
Q9AR07,ath:AT1G19640
F4HP88,ath:AT1G19650
O22527,ath:AT1G19670
Q8L4R0,ath:AT1G19800
B6ETT4,ath:AT1G20080
P40602,ath:AT1G20130
B3H6L2,ath:AT1G20132
B3H5G5,ath:AT1G20135
Q39227,ath:AT1G20330
Q84P21,ath:AT1G20510
Q9LPL5,ath:AT1G21400
Q9LPK7,ath:AT1G21530
Q9LPK6,ath:AT1G21540
Q9XHZ7,ath:AT1G21790
Q9SFD8,ath:AT1G21970
Q56YP2,ath:AT1G21980
Q1PFT7,ath:AT1G22100
Q9LM14,ath:AT1G22180
P48347,ath:AT1G22300
Q56ZI2,ath:AT1G22530
Q9SKA3,ath:AT1G22610
Q7XZU3,ath:AT1G22620
Q8GWK5,ath:AT1G22690
B3H7A9,ath:AT1G23240
F4I4P8,ath:AT1G23250
Q3ED65,ath:AT1G23360
Q9LQC8,ath:AT1G23490
Q9ZUE4,ath:AT1G23500
Q9LRA2,ath:AT1G23910
Q8H1Y0,ath:AT1G24180
Q8L743,ath:AT1G24280
P33207,ath:AT1G24360
Q9FYK5,ath:AT1G24590
F4IAT8,ath:AT1G24793
F4IAW1,ath:AT1G24793
P0DKB8,ath:AT1G24793
P0DKB9,ath:AT1G24793
F4IAU3,ath:AT1G24880
Q9FRH3,ath:AT1G25240
A4D998,ath:AT1G25330
Q9C6L1,ath:AT1G25410
Q9C6L5,ath:AT1G25450
Q38845,ath:AT1G25490
Q8VYP9,ath:AT1G26120
F4IE43,ath:AT1G26200
Q9C671,ath:AT1G26270
Q8GW32,ath:AT1G26945
Q8LFD3,ath:AT1G26960
Q9FZI8,ath:AT1G27480
F4HSY8,ath:AT1G27570
Q96289,ath:AT1G27730
Q9C7F7,ath:AT1G27950
Q9C509,ath:AT1G27980
Q9FXJ1,ath:AT1G28570
Q9FXJ2,ath:AT1G28580
Q8RXT9,ath:AT1G28590
Q94F40,ath:AT1G28600
Q9SHP6,ath:AT1G28610
P0C8Z7,ath:AT1G28640
Q3E7I6,ath:AT1G28650
Q9FPE4,ath:AT1G28660
Q38894,ath:AT1G28670
Q9C7N5,ath:AT1G29660
Q9C7N4,ath:AT1G29670
Q8VZ87,ath:AT1G29910
P04778,ath:AT1G29930
Q9XFR9,ath:AT1G30040
Q9C6Z1,ath:AT1G30100
Q9C6Z3,ath:AT1G30120
Q9C8G6,ath:AT1G30370
O04292,ath:AT1G30490
Q8VYJ1,ath:AT1G30520
Q9SA71,ath:AT1G30560
Q9SA72,ath:AT1G30570
Q94C59,ath:AT1G30690
P0C2G3,ath:AT1G30925
Q94F00,ath:AT1G31190
Q8W5R2,ath:AT1G31480
Q9C857,ath:AT1G31550
Q93VK5,ath:AT1G31800
P57752,ath:AT1G31812
Q17TI5,ath:AT1G31880
Q9C6W6,ath:AT1G31950
Q43307,ath:AT1G32200
Q39080,ath:AT1G32210
Q9LQN1,ath:AT1G32280
Q93Z53,ath:AT1G32440
Q39204,ath:AT1G32640
Q9C502,ath:AT1G33340
F4HR96,ath:AT1G33700
Q9LQ27,ath:AT1G33750
Q8L5Z1,ath:AT1G33811
Q9LQ36,ath:AT1G33840
Q84MA2,ath:AT1G34120
Q9FX21,ath:AT1G34130
Q9XIC7,ath:AT1G34210
Q9XID0,ath:AT1G34260
