node1,node2,node1_string_internal_id,node2_string_internal_id,node1_external_id,node2_external_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
PDX2,PDX1.2,634277,620802,3702.AT5G60540.1,3702.AT3G16050.1,0.19,0,0.445,0,0.779,0.731,0.8,0.985,0.999
PDX2,RSR4,634277,628771,3702.AT5G60540.1,3702.AT5G01410.1,0.19,0,0.445,0,0.779,0.876,0.8,0.986,0.999
AT5G55070,LPD1,633693,620901,3702.AT5G55070.1,3702.AT3G16950.2,0.158,0,0,0,0.899,0.783,0.9,0.575,0.999
MCCB,MCCA,628078,608063,3702.AT4G34030.1,3702.AT1G03090.2,0.19,0.141,0,0,0.959,0.79,0.9,0.981,0.999
AT4G26910,LPD1,627299,620901,3702.AT4G26910.1,3702.AT3G16950.2,0.158,0,0,0,0.899,0.783,0.9,0.567,0.999
HDS,HDR,634285,628115,3702.AT5G60600.1,3702.AT4G34350.1,0.19,0,0.321,0,0.914,0.75,0.9,0.992,0.999
ZDS,CRTISO,619598,608455,3702.AT3G04870.2,3702.AT1G06820.1,0,0,0.259,0,0.11,0,0.9,0.988,0.999
DGAT2,TAG1,623328,616101,3702.AT3G51520.1,3702.AT2G19450.1,0,0,0,0,0.048,0.304,0.9,0.992,0.999
DGL1,AT2G01720,634940,614989,3702.AT5G66680.1,3702.AT2G01720.1,0,0,0,0,0.935,0.85,0.8,0.957,0.999
DIN4,BCE2,620504,619827,3702.AT3G13450.1,3702.AT3G06850.1,0.173,0,0.385,0,0.885,0.476,0.9,0.863,0.999
MAB1,IAR4,633238,610293,3702.AT5G50850.1,3702.AT1G24180.1,0,0.446,0.448,0,0.916,0.811,0.9,0.562,0.999
AT4G26910,mtLPD2,627299,620931,3702.AT4G26910.1,3702.AT3G17240.1,0.158,0,0.336,0,0.923,0.783,0.9,0.567,0.999
ERA1,FTA,632061,624153,3702.AT5G40280.1,3702.AT3G59380.1,0,0,0,0,0.1,0.988,0.8,0.983,0.999
AT5G55070,AT4G16155,633693,626122,3702.AT5G55070.1,3702.AT4G16155.1,0.158,0,0,0,0.899,0.783,0.9,0.588,0.999
ALG3,EBS3,619121,609538,3702.AT2G47760.1,3702.AT1G16900.1,0,0,0,0,0.044,0.817,0.9,0.99,0.999
AT5G48220,TSA2,632944,623660,3702.AT5G48220.1,3702.AT3G54640.1,0.19,0.307,0.444,0,0.897,0,0.9,0.863,0.999
