A0A068FL09	AT2G46480.1
A0JJX5	AT5G11100.1
A0JPZ8	AT1G79700.1
A0JPZ8	AT1G79700.2
A0JPZ8	AT1G79700.3
A0JPZ8	AT1G79700.4
A0MFH4	AT5G20640.1
A0MFL4	AT5G41590.1
A4D998	AT1G25330.1
A4FVP2	AT4G16740.1
A4FVP2	AT4G16740.2
A4FVP2	AT4G16740.3
A4FVP2	AT4G16740.4
A4GNA8	AT4G25970.1
A4GNA8	AT4G25970.1
A8MQ88	AT5G59010.1
A8MQ88	AT5G59010.2
A8MQA2	AT5G44265.1
A8MQE1	AT4G35110.1
A8MQE1	AT4G35110.2
A8MQE1	AT4G35110.3
A8MQE1	AT4G35110.4
A8MQE1	AT4G35110.1
A8MQE1	AT4G35110.2
A8MQE1	AT4G35110.5
A8MQE1	AT4G35110.6
A8MQF2	AT2G05260.1
A8MQF2	AT2G05260.1
A8MQF2	AT2G05260.2
A8MQL8	AT5G15230.1
A8MQL8	AT5G15230.2
A8MQQ8	AT4G14910.1
A8MQQ8	AT4G14910.2
A8MQQ8	AT4G14910.3
A8MQQ8	AT4G14910.2
A8MQS2	AT1G79700.1
A8MQS2	AT1G79700.2
A8MQS2	AT1G79700.3
A8MQS2	AT1G79700.4
A8MQX6	AT4G22513.1
A8MQX6	AT4G22513.1
A8MR01	AT4G37070.1
A8MR01	AT4G37070.2
A8MR01	AT4G37070.3
A8MR01	AT4G37070.4
A8MR01	AT4G37070.1
A8MR01	AT4G37070.3
A8MR21	AT5G04980.1
A8MR21	AT5G04980.2
A8MR21	AT5G04980.1
A8MR21	AT5G04980.3
A8MR21	AT5G04980.4
A8MR46	AT3G10185.1
A8MR93	AT1G02145.1
A8MR93	AT1G02145.3
A8MR93	AT1G02145.2
A8MR93	AT1G02145.4
A8MRD0	AT1G63220.1
A8MRD0	AT1G63220.2
A8MRF0	AT2G16900.1
A8MRF0	AT2G16900.2
A8MRF0	AT2G16900.3
A8MRF0	AT2G16900.4
A8MRF0	AT2G16900.5
A8MRF0	AT2G16900.6
A8MRF0	AT2G16900.7
A8MRG3	AT1G55840.1
A8MRG3	AT1G55840.2
A8MRH2	AT4G33770.1
A8MRH2	AT4G33770.2
A8MRH2	AT4G33770.3
A8MRH8	AT5G63770.1
A8MRH8	AT5G63770.2
A8MRH8	AT5G63770.2
A8MRJ1	AT1G05790.1
A8MRJ1	AT1G05790.3
A8MRJ1	AT1G05790.2
A8MRJ1	AT1G05790.4
A8MRU9	AT2G42130.1
A8MRU9	AT2G42130.2
A8MRU9	AT2G42130.3
A8MRU9	AT2G42130.5
A8MRU9	AT2G42130.4
A8MRW6	AT3G55470.1
A8MRW6	AT3G55470.2
A8MRW6	AT3G55470.1
A8MS15	AT5G14930.1
A8MS15	AT5G14930.2
A8MS15	AT5G14930.3
A8MS15	AT5G14930.1
A8MS34	AT1G50430.1
A8MS34	AT1G50430.2
A8MS57	AT3G54320.1
A8MS57	AT3G54320.3
A8MS57	AT3G54320.2
A8MS57	AT3G54320.4
A8MS57	AT3G54320.5
A8MS68	AT3G16950.1
A8MS68	AT3G16950.2
A8MS68	AT3G16950.1
A8MS79	AT5G48220.1
A8MS79	AT5G48220.2
A8MS79	AT5G48220.3
A8MS79	AT5G48220.1
A8MS79	AT5G48220.4
A8MSB7	AT5G07550.1
A8MSB7	AT5G07550.2
A8MSB7	AT5G07550.3
A8MSB7	AT5G07550.1
A8MSD6	AT3G25440.1
A8MSD6	AT3G25440.2
A8MSD6	AT3G25440.3
A8MSD6	AT3G25440.4
A8MSD6	AT3G25440.5
A9X4U2	AT2G43420.1
B0F481	AT5G57590.1
B3DN87	AT3G56920.1
B3H438	AT5G23830.1
B3H438	AT5G23830.2
B3H480	AT5G65090.1
B3H480	AT5G65090.2
B3H480	AT5G65090.3
B3H4A7	AT1G36180.2
B3H4A7	AT1G36180.1
B3H4A7	AT1G36180.3
B3H4G1	AT4G00467.1
B3H4G1	AT4G00467.2
B3H4G6	AT4G24230.1
B3H4G6	AT4G24230.2
B3H4G6	AT4G24230.3
B3H4G6	AT4G24230.4
B3H4G6	AT4G24230.5
B3H4G6	AT4G24230.6
B3H4G8	AT1G52150.1
B3H4G8	AT1G52150.2
B3H4G8	AT1G52150.3
B3H4I1	AT3G14590.1
B3H4I1	AT3G14590.2
B3H4I1	AT3G14590.3
B3H4I1	AT3G14590.4
B3H4I1	AT3G14590.5
B3H501	AT5G23450.1
B3H501	AT5G23450.2
B3H501	AT5G23450.3
B3H501	AT5G23450.4
B3H501	AT5G23450.5
B3H588	AT2G21520.1
B3H588	AT2G21520.2
B3H588	AT2G21520.3
B3H591	AT4G00730.1
B3H591	AT4G00730.2
B3H5G5	AT1G20135.1
B3H5G8	AT1G01695.1
B3H5G8	AT1G01695.1
B3H5L1	AT3G10986.1
B3H5S3	AT2G39445.1
B3H5S3	AT2G39445.1
B3H5S3	AT2G39445.2
B3H5S3	AT2G39445.3
B3H5X1	AT4G22666.1
B3H5X1	AT4G22666.2
B3H5X1	AT4G22666.1
B3H6K1	AT4G17910.1
B3H6K1	AT4G17910.2
B3H6K1	AT4G17910.3
B3H6K1	AT4G17910.4
B3H6L2	AT1G20132.1
B3H6L6	AT5G07550.1
B3H6L6	AT5G07550.2
B3H6L6	AT5G07550.3
B3H6L6	AT5G07550.1
B3H6Y4	AT1G05230.1
B3H6Y4	AT1G05230.2
B3H6Y4	AT1G05230.3
B3H6Y4	AT1G05230.4
B3H6Y4	AT1G05230.10
B3H6Y4	AT1G05230.11
B3H6Y4	AT1G05230.12
B3H6Y4	AT1G05230.5
B3H6Y4	AT1G05230.6
B3H6Y4	AT1G05230.7
B3H6Y4	AT1G05230.8
B3H6Y4	AT1G05230.9
B3H725	AT5G60600.1
B3H725	AT5G60600.2
B3H725	AT5G60600.3
B3H725	AT5G60600.2
B3H725	AT5G60600.4
B3H725	AT5G60600.5
B3H746	AT3G25230.1
B3H746	AT3G25230.2
B3H749	AT3G02870.1
B3H749	AT3G02870.2
B3H749	AT3G02870.3
B3H7A9	AT1G23240.2
B3H7A9	AT1G23240.1
B3H7A9	AT1G23240.3
B3H7A9	AT1G23240.4
B3H7D4	AT4G35110.1
B3H7D4	AT4G35110.2
B3H7D4	AT4G35110.3
B3H7D4	AT4G35110.4
B3H7D4	AT4G35110.1
B3H7D4	AT4G35110.2
B3H7D4	AT4G35110.5
B3H7D4	AT4G35110.6
B3H7H2	AT1G59171.1
B3H7H2	AT1G59171.2
B3H7H2	AT1G59171.2
B4G290	AT1G48590.1
B4G290	AT1G48590.2
B4G290	AT1G48590.3
B4G290	AT1G48590.1
B4G290	AT1G48590.3
B4G290	AT1G48590.4
B6ETT4	AT1G20080.1
B6ETT4	AT1G20080.2
B6ETT4	AT1G20080.3
B6ETT4	AT1G20080.4
B6ETT4	AT1G20080.5
B6ETT7	AT3G19830.1
B6ETT7	AT3G19830.2
B6ETT7	AT3G19830.3
B6ETT7	AT3G19830.4
B6EXY6	AT1G78950.1
B6EXY6	AT1G78950.2
B8XCH5	AT1G74720.1
B9DFB5	AT1G63110.1
B9DFB5	AT1G63110.2
B9DFB5	AT1G63110.3
B9DFB7	AT3G56130.1
B9DFB7	AT3G56130.3
B9DFB7	AT3G56130.2
B9DFB7	AT3G56130.4
B9DFB7	AT3G56130.1
B9DFB7	AT3G56130.4
B9DFB7	AT3G56130.5
B9DFU2	AT2G26170.1
B9DFU2	AT2G26170.2
B9DFU2	AT2G26170.2
B9DGD6	AT5G36880.1
B9DGD6	AT5G36880.2
B9DGD6	AT5G36880.3
B9DGD6	AT5G36880.4
B9DGD6	AT5G36880.5
B9DGD6	AT5G36880.6
B9TSP7	AT3G56700.1
B9TSP7	AT3G56700
B9TSP7	AT3G56700.2
C0SVG5	AT4G01280.1
C0SVG5	AT4G01280.2
C0SVG5	AT4G01280.1
D7SFH9	AT1G66980.1
D7SFH9	AT1G66980.2
D7SFH9	AT1G66980.3
D7SFH9	AT1G66980.4
F2Y4A3	AT4G21534.1
F2Y4A3	AT4G21534.2
F4HP28	AT1G13170.1
F4HP28	AT1G13170.2
F4HP45	AT1G19350.1
F4HP45	AT1G19350.3
F4HP45	AT1G19350.5
