Uniprot ID	RefSeq	Gene ID	Protein Entry 	Protein names
I1N394		GLYMA.18G214600	I1N394_SOYBN	Non-specific lipid-transfer protein
I1KTU5		GLYMA.08G161700	I1KTU5_SOYBN	Non-specific lipid-transfer protein
K7KQ77		GLYMA.05G142800	K7KQ77_SOYBN	Alpha-1,3-glucosyltransferase (EC 2.4.1.-)
A0A0R0JJD6		GLYMA.06G196400	A0A0R0JJD6_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
A0A0R0I0M9		GLYMA.10G132500	A0A0R0I0M9_SOYBN	AAI domain-containing protein
A0A368UKR1		GLYMA.08G233200	A0A368UKR1_SOYBN	Fatty acyl-CoA reductase (EC 1.2.1.84) (Fragment)
A0A0R0JZ02		GLYMA.05G087200	A0A0R0JZ02_SOYBN	PhoLip_ATPase_C domain-containing protein
A0A0R0J1K0		GLYMA.08G324400	A0A0R0J1K0_SOYBN	GP-PDE domain-containing protein
I1LIY6		GLYMA.11G105700	I1LIY6_SOYBN	PLCXc domain-containing protein
A0A0R0I433		GLYMA.09G051500	A0A0R0I433_SOYBN	Uncharacterized protein (Fragment)
A0A0R0G4T9		GLYMA.15G223600	A0A0R0G4T9_SOYBN	Terpene cyclase/mutase family member (EC 5.4.99.-)
A0A0R0GT63		GLYMA.13G069600	A0A0R0GT63_SOYBN	Uncharacterized protein
K7MUM5		GLYMA.18G251700	K7MUM5_SOYBN	Lipase_3 domain-containing protein
A0A0R0KIK5		GLYMA.03G136000	A0A0R0KIK5_SOYBN	Uncharacterized protein
A0A0R0JP17		GLYMA.05G004300	A0A0R0JP17_SOYBN	Oleosin
I1MXQ8		GLYMA.17G244100	I1MXQ8_SOYBN	Patatin (EC 3.1.1.-)
K7MDN5	XP_003545877.2;	GLYMA.15G245600	K7MDN5_SOYBN	Uncharacterized protein
I1MK93		GLYMA.16G015900	I1MK93_SOYBN	S5A_REDUCTASE domain-containing protein
A0A0R0JKX3		GLYMA.06G229000	A0A0R0JKX3_SOYBN	ATP-synt_C domain-containing protein
I1K2Q8		GLYMA.05G119100	I1K2Q8_SOYBN	AAI domain-containing protein
I1JKY0		GLYMA.03G035700	I1JKY0_SOYBN	Uncharacterized protein
A0A0R0F2S3		GLYMA.18G212100	A0A0R0F2S3_SOYBN	Uncharacterized protein
A0A0R0HWF9		GLYMA.11G190400	A0A0R0HWF9_SOYBN	Uncharacterized protein
